,age,gender,year,visits,population
594,23,2,2010,38017,30522
595,23,2,2011,40849,31160
596,23,2,2012,42861,33452
597,23,2,2013,43754,34734
605,24,1,2006,72702,27788
606,24,1,2007,74895,27973
607,24,1,2008,79167,27717
608,24,1,2009,80967,28447
609,24,1,2010,82284,29144
610,24,1,2011,85696,30177
611,24,1,2012,90952,31716
612,24,1,2013,91767,33421
613,24,2,2006,34853,27728
614,24,2,2007,36753,28742
615,24,2,2008,37965,28961
616,24,2,2009,40049,29375
617,24,2,2010,40013,30195
618,24,2,2011,40876,31502
619,24,2,2012,43660,32262
620,24,2,2013,44837,34412
627,25,1,2006,76172,27948
628,25,1,2007,81231,28162
629,25,1,2008,85271,28712
630,25,1,2009,88208,28672
631,25,1,2010,88886,29452
632,25,1,2011,91131,30242
633,25,1,2012,95535,31291
634,25,1,2013,99298,32886
635,25,2,2006,35961,28564
636,25,2,2007,37638,28257
637,25,2,2008,39993,29640
638,25,2,2009,41272,29912
639,25,2,2010,40699,30233
640,25,2,2011,42545,31179
641,25,2,2012,43173,32779
642,25,2,2013,44579,33416
651,26,1,2006,82515,28523
652,26,1,2007,84301,28437
653,26,1,2008,90838,29047
654,26,1,2009,91118,29660
655,26,1,2010,92354,29658
656,26,1,2011,95854,30561
657,26,1,2012,98238,31328
658,26,1,2013,100944,32444
659,26,2,2006,37385,28661
660,26,2,2007,39227,29163
661,26,2,2008,41325,29277
662,26,2,2009,42696,30719
663,26,2,2010,41595,30830
664,26,2,2011,42916,31267
665,26,2,2012,44513,32398
666,26,2,2013,44896,34031
675,27,1,2006,86967,28520
676,27,1,2007,88164,29024
677,27,1,2008,93264,29270
678,27,1,2009,96830,29944
679,27,1,2010,96238,30555
680,27,1,2011,100425,30616
681,27,1,2012,101974,31534
682,27,1,2013,103911,32367
683,27,2,2006,38973,29052
684,27,2,2007,40239,29244
685,27,2,2008,41841,30220
686,27,2,2009,43370,30317
687,27,2,2010,44151,31553
688,27,2,2011,45353,31894
689,27,2,2012,45613,32473
690,27,2,2013,46452,33602
699,28,1,2006,88666,28446
700,28,1,2007,93982,29024
701,28,1,2008,97593,29775
702,28,1,2009,99012,30184
703,28,1,2010,102695,30732
704,28,1,2011,103680,31445
705,28,1,2012,105765,31511
706,28,1,2013,106222,32514
707,28,2,2006,38840,28571
708,28,2,2007,41636,29581
709,28,2,2008,44234,30257
710,28,2,2009,45598,31316
711,28,2,2010,45107,31058
712,28,2,2011,46723,32545
713,28,2,2012,47568,33084
714,28,2,2013,47549,33596
722,29,1,2006,92773,29584
